lemRank,lemma,word
296,area,areas
297,important,important
297,important,impor-tant
298,person,person
298,person,persons
298,person,per-son
299,hey,hey
300,thank,thank
300,thank,thanked
300,thank,thanking
300,thank,thanks
301,much,much
302,someone,someone
302,someone,some-one
303,end,end
303,end,ends
304,change,change
304,change,changed
304,change,changing
304,change,changes
305,however,however
306,only,only
306,only,onliest
307,around,around
308,hour,hours
308,hour,hour
309,everything,everything
309,everything,every-thing
310,national,national
311,four,four
311,four,fours
312,line,line
312,line,lines
313,girl,girl
313,girl,girls
314,around,around
315,watch,watch
315,watch,watching
315,watch,watched
315,watch,watches
316,until,until
317,father,father
317,father,fathers
317,father,fa-ther
318,sit,sit
318,sit,sitting
318,sit,sat
318,sit,sits
318,sit,siting
319,create,create
319,create,created
319,create,creating
319,create,creates
320,information,information
320,information,informations
320,information,in-formation
321,car,car
321,car,cars
322,learn,learn
322,learn,learned
322,learn,learning
322,learn,learns
322,learn,learnt
323,least,least
324,already,already
325,kill,killed
325,kill,kill
325,kill,killing
325,kill,kills
326,minute,minutes
326,minute,minute
326,minute,minuted
327,party,party
327,party,parties
328,include,include
328,include,included
328,include,includes
328,include,including
329,stand,stand
329,stand,stood
329,stand,standing
329,stand,stands
330,together,together
331,back,back
331,back,backs
332,follow,follow
332,follow,followed
332,follow,following
332,follow,follows
333,health,health
333,health,healths
334,remember,remember
334,remember,remembered
334,remember,remembers
334,remember,remembering
334,remember,re-member
334,remember,remem-ber
335,often,often
336,reason,reason
336,reason,reasons
337,speak,speak
337,speak,spoke
337,speak,speaking
337,speak,speaks
337,speak,spoken
337,speak,spake
338,ago,ago
339,set,set
339,set,setting
339,set,sets
340,black,black
340,black,blacker
340,black,blackest
341,member,members
341,member,member
342,community,community
342,community,communities
343,once,once
344,social,social
345,news,news
346,allow,allow
346,allow,allowed
346,allow,allows
346,allow,allowing
347,win,win
347,win,won
347,win,winning
347,win,wins
348,body,body
348,body,bodies
349,lead,led
349,lead,lead
349,lead,leading
349,lead,leads
350,continue,continue
350,continue,continues
350,continue,continued
350,continue,continuing
351,whether,whether
352,enough,enough
353,spend,spent
353,spend,spend
353,spend,spending
353,spend,spends
354,level,level
354,level,levels
355,able,able
356,political,political
357,almost,almost
358,boy,boy
358,boy,boys
358,boy,boyz
359,University,university
359,University,universities
360,before,before
361,stay,stay
361,stay,stayed
361,stay,staying
361,stay,stays
362,add,add
362,add,added
362,add,adding
362,add,adds
363,later,later
364,change,change
364,change,changes
365,five,five
365,five,fives
366,probably,probably
367,center,center
367,center,centers
367,center,centre
367,center,centres
368,among,among
369,face,face
369,face,faces
370,public,public
371,die,died
371,die,die
371,die,dying
371,die,dies
372,food,food
372,food,foods
373,else,else
374,history,history
374,history,histories
375,buy,buy
375,buy,bought
375,buy,buying
375,buy,buys
376,result,results
376,result,result
377,morning,morning
377,morning,mornings
377,morning,morn-ing
378,off,off
379,parent,parents
379,parent,parent
380,office,office
380,office,offices
380,office,off-ice
381,course,course
382,send,sent
382,send,send
382,send,sending
382,send,sends
382,send,sended
383,research,research
383,research,researches
384,walk,walk
384,walk,walked
384,walk,walking
384,walk,walks
385,door,door
385,door,doors
386,white,white
386,white,whiter
386,white,whitest
387,several,several
388,court,court
388,court,courts
389,home,home
390,grow,grow
390,grow,grew
390,grow,growing
390,grow,grown
390,grow,grows
390,grow,growed
391,better,better
392,open,open
392,open,opened
392,open,opens
392,open,opening
393,moment,moment
393,moment,moments
393,moment,mo-ment
394,including,including
395,consider,consider
395,consider,considered
395,consider,considering
395,consider,considers
396,both,both
397,such,such
398,little,little
399,within,within
400,second,second
401,late,late
401,late,latest
401,late,later
402,street,street
402,street,streets
403,free,free
403,free,freer
403,free,freest
404,better,better
405,everyone,everyone
405,everyone,every-one
406,policy,policy
406,policy,policies
407,table,table
407,table,tables
408,sorry,sorry
408,sorry,sorrier
408,sorry,sorriest
409,care,care
409,care,cares
410,low,low
410,low,lower
410,low,lowest
411,human,human
412,please,please
413,hope,hope
413,hope,hoping
413,hope,hoped
413,hope,hopes
414,TRUE,TRUE
414,TRUE,truer
414,TRUE,truest
415,process,process
415,process,processes
416,teacher,teachers
416,teacher,teacher
417,data,data
417,data,datas
418,offer,offer
418,offer,offered
418,offer,offers
418,offer,offering
419,death,death
419,death,deaths
420,whole,whole
421,experience,experience
421,experience,experiences
422,plan,plan
422,plan,plans
423,easy,easy
423,easy,easier
423,easy,easiest
424,education,education
424,education,educations
425,build,built
425,build,build
425,build,building
425,build,builds
425,build,builded
426,expect,expect
426,expect,expected
426,expect,expecting
426,expect,expects
427,fall,fell
427,fall,fall
427,fall,falling
427,fall,fallen
427,fall,falls
427,fall,falled
428,himself,himself
428,himself,hisself
428,himself,him-self
429,age,age
429,age,ages
430,hard,hard
430,hard,harder
430,hard,hardest
431,sense,sense
431,sense,senses
431,sense,sensei
432,across,across
433,show,show
433,show,shows
434,early,early
434,early,earlier
434,early,earliest
435,college,college
435,college,colleges
436,music,music
436,music,musics
437,appear,appear
437,appear,appears
437,appear,appeared
437,appear,appearing
438,mind,mind
438,mind,minds
439,class,class
439,class,classes
440,police,police
440,police,po-lice
441,use,use
441,use,uses
442,effect,effect
442,effect,effects
443,season,season
443,season,seasons
444,tax,tax
444,tax,taxes
444,tax,taxa
445,heart,heart
445,heart,hearts
446,son,son
446,son,sons
447,art,art
447,art,arts
448,possible,possible
448,possible,possi-ble
449,serve,serve
449,serve,served
449,serve,serving
449,serve,serves
450,break,break
450,break,broke
450,break,breaking
450,break,broken
450,break,breaks
451,although,although
452,end,end
452,end,ended
452,end,ends
452,end,ending
453,market,market
453,market,markets
454,even,even
455,air,air
455,air,airs
456,force,force
456,force,forces
457,require,required
457,require,require
457,require,requires
457,require,requiring
458,foot,feet
458,foot,foot
459,up,up
460,listen,listen
460,listen,listening
460,listen,listened
460,listen,listens
461,agree,agree
461,agree,agreed
461,agree,agrees
461,agree,agreeing
462,according,according
463,anyone,anyone
464,baby,baby
464,baby,babies
464,baby,babys
465,wrong,wrong
465,wrong,wrongest
466,love,love
466,love,loves
467,cut,cut
467,cut,cutting
467,cut,cuts
468,decide,decided
468,decide,decide
468,decide,decides
468,decide,deciding
469,Republican,republican
469,Republican,republicans
470,full,full
470,full,fuller
470,full,fullest
471,behind,behind
472,pass,passed
472,pass,pass
472,pass,passing
472,pass,passes
473,interest,interest
473,interest,interests
474,sometimes,sometimes
474,sometimes,some-times
475,security,security
475,security,securities
476,eat,eat
476,eat,eating
476,eat,ate
476,eat,eaten
476,eat,eats
477,report,reported
477,report,report
477,report,reports
477,report,reporting
478,control,control
478,control,controls
479,rate,rate
479,rate,rates
480,local,local
480,local,lo-cal
481,suggest,suggest
481,suggest,suggested
481,suggest,suggests
481,suggest,suggesting
482,report,report
482,report,reports
483,nation,nation
483,nation,nations
484,sell,sell
484,sell,sold
484,sell,selling
484,sell,sells
485,action,action
485,action,actions
486,support,support
486,support,supported
486,support,supporting
486,support,supports
487,wife,wife
487,wife,wives
487,wife,wifes
488,decision,decision
488,decision,decisions
489,receive,received
489,receive,receive
489,receive,receiving
489,receive,receives
489,receive,recieved
489,receive,recieve
490,value,value
490,value,values
491,base,based
491,base,base
491,base,basing
491,base,bases
492,pick,pick
492,pick,picked
492,pick,picking
492,pick,picks
493,phone,phone
493,phone,phones
494,thanks,thanks
495,event,events
495,event,event
496,drive,drive
496,drive,driving
496,drive,drove
496,drive,driven
496,drive,drives
497,strong,strong
497,strong,stronger
497,strong,strongest
498,reach,reached
498,reach,reach
498,reach,reaching
498,reach,reaches
499,remain,remain
499,remain,remains
499,remain,remained
499,remain,remaining
500,explain,explain
500,explain,explained
500,explain,explains
500,explain,explaining
501,site,site
501,site,sites
502,hit,hit
502,hit,hitting
502,hit,hits
503,pull,pulled
503,pull,pull
503,pull,pulling
503,pull,pulls
504,church,church
504,church,churches
504,church,churchs
505,model,model
505,model,models
506,perhaps,perhaps
507,relationship,relationship
507,relationship,relationships
507,relationship,relation-ship
507,relationship,relation-ships
508,six,six
508,six,sixes
509,fine,fine
509,fine,finest
509,fine,finer
510,movie,movie
510,movie,movies
511,field,field
511,field,fields
512,raise,raised
512,raise,raise
512,raise,raising
512,raise,raises
513,less,less
514,player,players
514,player,player
515,couple,couple
515,couple,couples
516,million,million
516,million,millions
517,themselves,themselves
517,themselves,themself
517,themselves,theirselves
517,themselves,them-selves
517,themselves,theirself
518,record,record
518,record,records
519,especially,especially
519,especially,expecially
520,difference,difference
520,difference,differences
521,light,light
521,light,lights
522,development,development
522,development,developments
523,federal,federal
523,federal,federales
524,former,former
525,role,role
525,role,roles
526,pretty,pretty
527,myself,myself
527,myself,meself
528,view,view
528,view,views
529,price,price
529,price,prices
529,price,pricei
530,effort,effort
530,effort,efforts
531,nice,nice
531,nice,nicer
531,nice,nicest
532,quite,quite
533,along,along
534,voice,voice
534,voice,voices
535,finally,finally
536,department,department
536,department,departments
536,department,dept
536,department,depts
537,either,either
538,toward,toward
539,leader,leaders
539,leader,leader
540,because,because
541,photo,photo
541,photo,photos
542,wear,wearing
542,wear,wear
542,wear,wore
542,wear,worn
542,wear,wears
543,space,space
543,space,spaces
544,project,project
544,project,projects
545,return,return
545,return,returned
545,return,returning
545,return,returns
546,position,position
546,position,positions
547,special,special
548,million,million
548,million,millions
549,film,film
549,film,films
550,need,need
550,need,needs
551,major,major
552,type,type
552,type,types
553,town,town
553,town,towns
554,article,article
554,article,articles
555,road,road
555,road,roads
556,form,form
556,form,forms
557,chance,chance
557,chance,chances
558,drug,drug
558,drug,drugs
559,economic,economic
560,situation,situation
560,situation,situations
561,choose,choose
561,choose,chose
561,choose,chosen
561,choose,choosing
561,choose,chooses
561,choose,choses
561,choose,chosing
562,practice,practice
562,practice,practices
563,cause,cause
563,cause,caused
563,cause,causing
563,cause,causes
564,happy,happy
564,happy,happier
564,happy,happiest
565,science,science
565,science,sciences
566,join,join
566,join,joined
566,join,joining
566,join,joins
567,teach,teach
567,teach,taught
567,teach,teaching
567,teach,teaches
568,early,earlier
568,early,early
568,early,earliest
569,develop,developed
569,develop,develop
569,develop,developing
569,develop,develops
569,develop,develope
570,share,share
570,share,shared
570,share,sharing
570,share,shares
571,yourself,yourself
571,yourself,yourselves
571,yourself,yerself
571,yourself,your-self
572,carry,carry
572,carry,carried
572,carry,carrying
572,carry,carries
573,clear,clear
573,clear,clearer
573,clear,clearest
574,brother,brother
574,brother,brothers
574,brother,brethren
575,matter,matter
575,matter,matters
576,dead,dead
576,dead,deader
576,dead,deadest
577,image,image
